iter	RMSE
0	8243.984173
1	8118.913178
2	8002.610673
3	7898.306972
4	7796.925522
5	7692.126347
6	7591.144
7	7499.055517
8	7411.451121
9	7323.649595
10	7246.018317
11	7162.083111
12	7086.550739
13	7016.028189
14	6947.742607
15	6879.46142
16	6811.923467
17	6747.203077
18	6687.411234
19	6626.414514
20	6568.898506
21	6513.742327
22	6463.207596
23	6414.436235
24	6364.919739
25	6319.604902
26	6271.414968
27	6232.457174
28	6193.151697
29	6156.375662
30	6117.004977
31	6081.870736
32	6045.545825
33	6011.652514
34	5979.932349
35	5947.348825
36	5914.459083
37	5885.737506
38	5853.850206
39	5824.002807
40	5796.244218
41	5770.421794
42	5746.926979
43	5720.551268
44	5699.89664
45	5679.601847
46	5658.301358
47	5638.197859
48	5622.939291
49	5602.581176
50	5588.168264
51	5571.61738
52	5555.269499
53	5541.344098
54	5526.216963
55	5510.986701
56	5495.707773
57	5484.550422
58	5469.886655
59	5457.44932
60	5443.990726
61	5431.024764
62	5421.817904
63	5411.068201
64	5397.958717
65	5385.433247
66	5373.950823
67	5362.341717
68	5351.342233
69	5341.667044
70	5331.514891
71	5322.413097
72	5311.099417
73	5301.747486
74	5291.905773
75	5283.268275
76	5275.398137
77	5266.501591
78	5259.283567
79	5250.754125
80	5242.626716
81	5236.218734
82	5229.102803
83	5224.059901
84	5218.764103
85	5211.860011
86	5203.686715
87	5196.088005
88	5188.718839
89	5182.393564
90	5177.089489
91	5169.632826
92	5163.399359
93	5158.065102
94	5151.304699
95	5146.332382
96	5140.401868
97	5134.01754
98	5127.131453
99	5122.629947
100	5117.266605
101	5113.376287
102	5109.103894
103	5104.819702
104	5100.479289
105	5095.555041
106	5091.790819
107	5087.201487
108	5082.41178
109	5078.911823
110	5075.979591
111	5070.827852
112	5067.442274
113	5064.561626
114	5061.622583
115	5057.775002
116	5054.011723
117	5049.275034
118	5046.538636
119	5042.165937
120	5038.183025
121	5033.795979
122	5031.240312
123	5027.491782
124	5023.785534
125	5020.982354
126	5016.658237
127	5012.764926
128	5010.251462
129	5007.592914
130	5003.117856
131	4999.357835
132	4997.044749
133	4995.057151
134	4992.812271
135	4988.995907
136	4984.64547
137	4981.516675
138	4980.072647
139	4976.583853
140	4974.368112
141	4971.10858
142	4968.879853
143	4965.718457
144	4964.369464
145	4960.683979
146	4958.470058
147	4956.279822
148	4953.940565
149	4951.761143
150	4948.688766
151	4946.39021
152	4944.201379
153	4941.971904
154	4940.092512
155	4935.81594
156	4932.624311
157	4931.469845
158	4927.686113
159	4926.412426
160	4922.915058
161	4919.603468
162	4915.529186
163	4914.077763
164	4911.433371
165	4910.233026
166	4907.624361
167	4905.254634
168	4903.784015
169	4902.853315
170	4899.2666
171	4895.727865
172	4894.16554
173	4892.71276
174	4890.003741
175	4889.096345
176	4888.063589
177	4887.11445
178	4884.839617
179	4882.266432
180	4879.881957
181	4878.244996
182	4875.959602
183	4874.83569
184	4872.949156
185	4871.657067
186	4869.610224
187	4868.189255
188	4866.547506
189	4864.181548
190	4861.325343
191	4860.893862
192	4860.110457
193	4856.499185
194	4853.806977
195	4851.882743
196	4849.358001
197	4848.016421
198	4844.690767
199	4843.173351
200	4841.364645
201	4839.631851
202	4838.760321
203	4837.675308
204	4836.011488
205	4833.625121
206	4832.046212
207	4830.849291
208	4829.449701
209	4826.979727
210	4824.86313
211	4821.992379
212	4820.282073
213	4819.281492
214	4817.119413
215	4815.366667
216	4814.544238
217	4813.234964
218	4811.799167
219	4810.89084
220	4808.450918
221	4805.599263
222	4805.029304
223	4804.113667
224	4802.446118
225	4801.233106
226	4799.881357
227	4798.710943
228	4796.550747
229	4795.250952
230	4792.820596
231	4792.631765
232	4791.106267
233	4789.901468
234	4788.277913
235	4787.229291
236	4785.471407
237	4784.83639
238	4783.508948
239	4781.57432
240	4779.713479
241	4778.471134
242	4776.803045
243	4774.778004
244	4772.297249
245	4770.313151
246	4769.31357
247	4767.971207
248	4765.733645
249	4762.793651
250	4761.508868
251	4760.79361
252	4760.544946
253	4758.841097
254	4756.36461
255	4753.1685
256	4751.070225
257	4749.973886
258	4748.321373
259	4746.954826
260	4745.297649
261	4742.521115
262	4740.988356
263	4739.810412
264	4739.123197
265	4736.81869
266	4735.723327
267	4733.897653
268	4732.487998
269	4732.190301
270	4731.176917
271	4728.690363
272	4727.935506
273	4726.579185
274	4725.903846
275	4724.246091
276	4723.21893
277	4722.396209
278	4721.475157
279	4720.335211
280	4719.314768
281	4717.618429
282	4716.463443
283	4715.233151
284	4714.463301
285	4712.64213
286	4711.614172
287	4710.251737
288	4707.779421
289	4706.105682
290	4705.504637
291	4704.406185
292	4702.601737
293	4701.4384
294	4698.462017
295	4697.146005
296	4695.996958
297	4694.81857
298	4693.572129
299	4692.060989
300	4691.168723
301	4688.42061
302	4687.525799
303	4685.002436
304	4683.952235
305	4683.172486
306	4681.509625
307	4680.655153
308	4679.693224
309	4678.436807
310	4675.678492
311	4674.516598
312	4671.799065
313	4671.334737
314	4668.960625
315	4667.837934
316	4667.023985
317	4666.222025
318	4664.98605
319	4663.969401
320	4662.747961
321	4662.09633
322	4660.847416
323	4660.041837
324	4659.204334
325	4658.570952
326	4657.889742
327	4656.502618
328	4655.083953
329	4654.104925
330	4653.109937
331	4652.015413
332	4650.836451
333	4650.137303
334	4649.099005
335	4648.409739
336	4647.837681
337	4647.011312
338	4646.07588
339	4643.135389
340	4642.069618
341	4640.903964
342	4639.580132
343	4638.910085
344	4637.921949
345	4637.113264
346	4636.580835
347	4635.116429
348	4634.177675
349	4632.026871
350	4629.475931
351	4628.925607
352	4627.89363
353	4625.368754
354	4623.484328
355	4621.182178
356	4620.334953
357	4619.076003
358	4618.07448
359	4616.625959
360	4616.280398
361	4614.466778
362	4613.697941
363	4612.608408
364	4611.451243
365	4610.758995
366	4609.856206
367	4608.665385
368	4607.883141
369	4606.159699
370	4604.393768
371	4603.775624
372	4603.095425
373	4602.543531
374	4601.80092
375	4600.507664
376	4599.571798
377	4598.427071
378	4597.928152
379	4596.820053
380	4596.233786
381	4595.657
382	4594.621368
383	4593.259644
384	4592.498617
385	4591.877879
386	4590.262439
387	4589.349674
388	4586.599149
389	4585.807412
390	4584.249237
391	4583.699777
392	4582.57735
393	4582.030692
394	4581.457668
395	4580.694975
396	4579.969819
397	4577.38541
398	4576.744867
399	4575.901878
400	4575.499093
401	4574.635679
402	4573.925198
403	4573.374464
404	4572.063229
405	4571.639218
406	4571.303396
407	4570.772543
408	4569.850475
409	4568.870296
410	4567.967317
411	4567.680205
412	4566.188605
413	4564.343849
414	4563.588758
415	4561.987506
416	4561.114028
417	4560.547249
418	4559.890161
419	4559.229658
420	4558.961126
421	4557.748166
422	4556.581291
423	4556.139966
424	4555.467107
425	4554.689179
426	4552.156022
427	4550.309207
428	4549.022285
429	4548.371435
430	4545.689516
431	4545.174624
432	4542.54728
433	4542.229381
434	4540.632332
435	4540.321302
436	4540.068237
437	4539.165459
438	4537.145743
439	4536.198252
440	4534.919759
441	4533.544169
442	4531.871922
443	4530.742379
444	4529.415684
445	4528.362617
446	4527.529695
447	4525.085136
448	4524.536582
449	4523.240178
450	4522.766574
451	4522.474192
452	4521.919789
453	4520.540624
454	4518.191795
455	4517.467027
456	4517.198062
457	4516.93484
458	4516.682037
459	4514.353559
460	4513.270098
461	4512.026929
462	4509.677119
463	4507.415389
464	4506.269917
465	4503.997271
466	4503.281671
467	4502.59779
468	4502.19932
469	4501.677315
470	4500.083473
471	4499.837821
472	4499.505342
473	4498.529214
474	4497.937828
475	4497.331001
476	4496.642261
477	4495.130834
478	4494.93923
479	4494.648581
480	4493.304165
481	4492.464838
482	4491.634863
483	4489.440892
484	4489.211852
485	4488.190856
486	4486.255725
487	4484.589422
488	4484.02296
489	4482.809228
490	4480.665973
491	4479.947256
492	4479.673855
493	4478.904866
494	4476.774517
495	4474.12534
496	4473.499266
497	4471.871228
498	4470.625168
499	4468.018261
500	4467.363119
501	4466.887282
502	4465.818954
503	4465.602741
504	4465.042774
505	4464.172755
506	4463.167182
507	4462.910974
508	4462.40804
509	4461.300309
510	4461.015588
511	4458.923811
512	4457.841968
513	4455.280769
514	4454.274516
515	4454.002139
516	4451.920046
517	4449.902735
518	4449.191806
519	4448.209004
520	4447.186035
521	4446.161944
522	4445.551314
523	4445.101554
524	4444.129999
525	4443.201683
526	4442.942731
527	4441.925241
528	4441.588689
529	4440.939825
530	4440.207248
531	4437.683946
532	4436.968787
533	4436.444194
534	4434.141302
535	4432.577054
536	4432.15734
537	4431.412822
538	4428.967758
539	4426.518099
540	4424.31796
541	4423.947773
542	4423.764966
543	4421.427331
544	4420.494989
545	4419.502017
546	4418.959381
547	4417.734039
548	4415.762716
549	4413.635262
550	4413.065017
551	4411.122764
552	4409.553505
553	4408.5821
554	4408.450273
555	4407.395317
556	4407.132983
557	4404.810743
558	4404.510842
559	4403.966607
560	4402.87185
561	4400.607037
562	4399.660592
563	4397.448174
564	4396.522579
565	4394.566892
566	4393.20722
567	4393.043405
568	4392.399448
569	4391.703319
570	4391.580347
571	4390.505808
572	4388.325585
573	4386.173134
574	4385.320007
575	4383.449443
576	4381.567659
577	4379.449053
578	4378.705159
579	4376.620092
580	4376.036123
581	4375.129097
582	4374.268372
583	4372.213956
584	4371.43037
585	4371.274335
586	4370.548562
587	4369.652669
588	4368.458735
589	4367.831051
590	4365.807435
591	4363.96791
592	4363.06632
593	4361.232453
594	4359.911068
595	4359.348846
596	4358.645082
597	4357.092495
598	4355.279705
599	4354.866906
600	4354.269903
601	4352.457449
602	4351.993912
603	4351.106834
604	4349.624079
605	4348.720852
606	4347.760537
607	4347.566268
608	4346.728408
609	4345.580939
610	4345.058206
611	4344.209545
612	4344.066356
613	4343.19813
614	4341.243304
615	4340.461622
616	4338.537208
617	4337.646619
618	4337.508502
619	4336.663234
620	4335.96604
621	4334.077917
622	4333.244624
623	4332.253088
624	4330.449687
625	4329.922111
626	4329.581027
627	4328.916404
628	4328.074434
629	4327.28233
630	4326.479197
631	4325.447866
632	4324.292917
633	4322.556697
634	4321.916358
635	4320.962544
636	4320.509736
637	4319.689397
638	4319.079557
639	4318.758152
640	4318.177026
641	4317.922211
642	4316.995467
643	4316.598783
644	4315.736069
645	4314.980328
646	4314.199817
647	4313.067211
648	4312.527876
649	4310.826423
650	4310.454505
651	4308.77851
652	4307.303483
653	4305.652183
654	4304.424866
655	4302.785446
656	4302.109361
657	4301.95787
658	4301.096565
659	4300.587961
660	4300.451578
661	4299.673844
662	4298.03477
663	4297.79534
664	4296.720721
665	4295.299242
666	4293.718639
667	4293.272685
668	4292.50778
669	4290.950684
670	4289.582405
671	4289.077914
672	4288.325189
673	4287.542864
674	4287.109115
675	4286.434447
676	4286.145716
677	4284.43046
678	4283.720713
679	4282.751881
680	4282.553565
681	4282.142966
682	4281.625069
683	4281.141429
684	4281.005995
685	4280.704253
686	4280.304194
687	4280.180684
688	4280.070062
689	4279.604059
690	4278.658304
691	4278.587953
692	4277.165795
693	4275.966243
694	4275.628308
695	4275.037392
696	4274.182814
697	4274.054454
698	4273.603634
699	4272.598335
700	4271.862829
701	4271.796117
702	4271.072829
703	4270.356852
704	4269.701368
705	4268.16185
706	4267.804659
707	4267.428259
708	4267.192254
709	4266.954585
710	4266.176194
711	4265.470325
712	4263.855993
713	4263.156328
714	4262.190474
715	4261.251424
716	4259.723471
717	4258.685615
718	4257.188365
719	4256.989389
720	4256.415745
721	4255.136045
722	4254.308864
723	4253.82455
724	4253.125078
725	4252.529601
726	4250.771533
727	4249.29471
728	4248.491959
729	4247.577125
730	4246.768416
731	4246.079554
732	4245.216889
733	4244.43323
734	4243.259385
735	4241.81056
736	4240.386696
737	4239.528898
738	4239.159042
739	4237.26219
740	4236.931177
741	4236.717304
742	4236.329721
743	4234.925651
744	4234.53236
745	4234.470471
746	4233.069519
747	4231.48885
748	4230.887618
749	4230.542458
750	4230.335243
751	4230.189427
752	4229.509838
753	4228.857224
754	4228.655593
755	4226.911855
756	4226.461807
757	4226.344923
758	4224.46827
759	4223.783033
760	4223.294252
761	4221.650645
762	4221.559653
763	4221.153237
764	4219.599219
765	4219.542051
766	4218.898122
767	4218.264339
768	4216.876159
769	4215.505546
770	4214.875209
771	4214.435853
772	4214.379879
773	4213.505759
774	4212.921334
775	4212.185075
776	4212.130612
777	4211.935242
778	4211.487795
779	4209.949226
780	4209.326409
781	4207.987668
782	4207.25859
783	4206.267857
784	4205.384481
785	4203.634894
786	4202.039436
787	4201.287605
788	4200.827522
789	4200.243049
790	4200.189928
791	4200.137967
792	4199.530306
793	4199.095197
794	4198.671943
795	4198.543708
796	4198.295801
797	4197.697495
798	4197.211757
799	4196.111869
800	4195.644012
801	4194.027828
802	4193.936435
803	4193.88711
804	4193.043403
805	4191.591741
806	4191.040211
807	4189.530266
808	4189.200802
809	4187.686961
810	4187.065034
811	4186.171458
812	4185.782769
813	4185.515232
814	4185.222077
815	4184.986128
816	4184.375035
817	4183.530386
818	4183.420441
819	4182.828939
820	4182.201477
821	4181.611751
822	4181.066456
823	4180.748615
824	4180.306055
825	4178.740217
826	4178.163063
827	4177.10804
828	4175.795911
829	4175.154402
830	4174.822378
831	4173.768861
832	4172.241433
833	4171.21478
834	4170.521524
835	4170.120884
836	4170.073941
837	4168.585655
838	4167.660131
839	4167.438969
840	4166.150524
841	4164.679225
842	4164.493147
843	4163.931394
844	4163.55766
845	4163.050071
846	4162.723066
847	4162.045013
848	4160.779815
849	4160.180546
850	4159.904479
851	4159.525808
852	4158.974984
853	4158.268476
854	4157.022306
855	4156.940418
856	4156.398246
857	4155.865231
858	4154.631249
859	4154.096351
860	4154.003336
861	4153.684009
862	4153.158185
863	4151.754431
864	4151.431014
865	4151.386888
866	4151.030025
867	4150.830244
868	4149.315283
869	4148.862273
870	4147.445134
871	4146.780554
872	4146.512912
873	4146.180032
874	4145.935386
875	4145.41587
876	4144.069301
877	4143.855639
878	4142.478257
879	4141.966573
880	4141.759738
881	4141.215114
882	4140.750253
883	4140.166964
884	4139.233522
885	4138.930594
886	4138.811638
887	4138.506625
888	4138.063338
889	4137.525374
890	4137.070979
891	4136.742477
892	4135.531037
893	4135.190638
894	4133.993111
895	4133.085412
896	4132.957006
897	4132.451491
898	4132.356668
899	4131.873201
900	4130.878882
901	4130.250047
902	4129.647434
903	4128.726051
904	4127.669514
905	4127.073429
906	4126.282423
907	4125.918162
908	4125.328695
909	4124.73511
910	4123.971119
911	4123.487655
912	4122.824879
913	4122.333024
914	4121.000718
915	4120.483144
916	4119.643228
917	4119.166147
918	4118.051437
919	4117.802051
920	4117.265962
921	4115.930032
922	4115.817595
923	4114.900525
924	4113.669857
925	4113.420993
926	4112.670426
927	4112.212398
928	4111.917055
929	4111.392666
930	4110.496504
931	4109.218862
932	4108.607805
933	4108.370127
934	4107.944706
935	4107.652198
936	4106.475866
937	4106.196371
938	4104.929949
939	4104.62832
940	4103.123055
941	4102.511914
