iter	Passed	Remaining
0	52	341917
1	54	177028
2	56	122164
3	57	94497
4	59	78350
5	62	68413
6	64	60316
7	66	54264
8	68	49545
9	70	46160
10	72	43270
11	74	40577
12	76	38360
13	78	36608
14	82	36073
15	84	34664
16	86	33323
17	88	32146
18	90	31004
19	93	30393
20	95	29672
21	97	28946
22	99	28216
23	101	27541
24	103	26895
25	104	26264
26	106	25713
27	108	25161
28	109	24641
29	111	24289
30	113	23881
31	115	23529
32	117	23149
33	118	22758
34	120	22408
35	122	22077
36	123	21772
37	125	21526
38	127	21249
39	129	20996
40	130	20756
41	132	20481
42	133	20212
43	135	19985
44	136	19747
45	138	19556
46	140	19465
47	142	19267
48	144	19128
49	145	18949
50	147	18755
51	148	18577
52	150	18396
53	151	18217
54	153	18096
55	154	17935
56	156	17803
57	157	17662
58	159	17514
59	160	17390
60	162	17270
61	164	17157
62	165	17035
63	167	16927
64	168	16827
65	170	16723
66	172	16638
67	173	16524
68	175	16424
69	176	16341
70	178	16237
71	179	16136
72	180	16032
73	182	15931
74	183	15838
75	184	15738
76	186	15657
77	188	15588
78	190	15555
79	191	15498
80	193	15421
81	194	15316
82	195	15220
83	196	15133
84	198	15056
85	199	14992
86	201	14948
87	203	14935
88	205	14889
89	206	14821
90	208	14767
91	209	14697
92	211	14657
93	213	14629
94	215	14591
95	216	14546
96	218	14517
97	220	14467
98	221	14416
99	223	14368
100	224	14319
101	226	14286
102	227	14243
103	229	14195
104	230	14134
105	231	14075
106	233	14038
107	235	14007
108	236	13972
109	238	13964
110	240	13932
111	241	13888
112	243	13846
113	244	13809
114	246	13777
115	248	13753
116	249	13716
117	251	13683
118	252	13648
119	254	13618
120	255	13577
121	257	13556
122	259	13525
123	260	13497
124	262	13456
125	264	13487
126	266	13475
127	268	13454
128	269	13421
129	271	13390
130	273	13378
131	274	13348
132	276	13322
133	277	13287
134	279	13260
135	281	13238
136	282	13219
137	284	13183
138	285	13149
139	286	13113
140	288	13079
141	289	13047
142	290	13018
143	292	12984
144	293	12948
145	295	12931
146	296	12914
147	298	12887
148	299	12857
149	301	12839
150	302	12822
151	304	12793
152	305	12763
153	307	12744
154	308	12723
155	310	12717
156	312	12699
157	313	12674
158	315	12647
159	316	12624
160	318	12613
161	320	12603
162	321	12584
163	323	12567
164	324	12551
165	326	12527
166	327	12520
167	329	12507
168	331	12488
169	332	12458
170	333	12435
171	334	12405
172	336	12378
173	337	12368
174	339	12346
175	340	12329
176	342	12319
177	344	12307
178	345	12291
179	347	12289
180	349	12273
181	350	12258
182	352	12243
183	353	12226
184	355	12222
185	357	12215
186	359	12202
187	360	12184
188	361	12167
189	363	12155
190	365	12149
191	366	12118
192	367	12103
193	369	12083
194	371	12075
195	372	12060
196	374	12064
197	375	12046
198	377	12033
199	378	12009
200	379	11986
201	381	11961
202	382	11937
203	383	11921
204	385	11920
205	387	11916
206	389	11904
207	390	11895
208	392	11879
209	393	11872
210	395	11864
211	397	11864
212	398	11854
213	400	11842
